"","District","Street","Area","Num_whole_rooms","Num_half_rooms","Price","Condition","Comfort_lev","Energy_eff","Floor","Floors_in_bdg","Lift","Ceiling_height","Air_conditioning","Furnished","Overhead","Vacant_possession","Min_rental(month)","View_to","Garden","Mechanized","Pets","Smoking","Parking","Year","Balcony","Parking_fee(monthly)","Address","ddress","lat","long"
"11414",6," Izabella utca",85,2,NA,149000,"new","high",NA,4,6,"Yes",NA,"Yes","Yes",23000,"immediately",NA,"street","No","Yes","No",NA,"included","2013","8",NA," Izabella utca,6"," Izabella utca, 6",47.50204565,19.0743471547588
"11415",13," Szegedi út",36,1,NA,1e+05,"good",NA,NA,3,3,"No",NA,"No","Yes",NA,"immediately","1 év","yard","No","Yes",NA,"No","street",NA,NA,NA," Szegedi út,13"," Szegedi út, 13",46.1850485,18.9586049
"11416",6," Munkácsy Mihály utca",51,2,NA,140000,"renovated",NA,NA,0.5,NA,NA,NA,NA,"Yes",40000,NA,NA,NA,NA,"Yes",NA,NA,"street",NA,NA,NA," Munkácsy Mihály utca,6"," Munkácsy Mihály utca, 6",47.57133095,19.0935995723382
"11417",13," Hajdú utca",34,1,1,130000,"renovated",NA,NA,NA,NA,"Yes",NA,NA,"Yes",NA,NA,"1 év","street",NA,NA,"No","No",NA,NA,NA,NA," Hajdú utca,13"," Hajdú utca, 13",47.22201905,16.6258872
"11418",13," Mohács utca 8.",34,1,NA,120000,"good","average",NA,NA,5,"Yes","3 or more","No","Yes",30000,"immediately","1 év","street","Yes","Yes",NA,"No","street","1950-1980 ",NA,NA," Mohács utca 8.,13"," Mohács utca 8., 13",47.5260447,19.0747465
"11419",9," Közraktár utca 34.",81,3,NA,289120,"renovated","high",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"1 év","panorama",NA,NA,NA,NA,NA,NA,NA,NA," Közraktár utca 34.,9"," Közraktár utca 34., 9",47.48095485,19.0661662244806
"11420",20," Csokonai utca",33,1,NA,90000,"renovated",NA,NA,NA,NA,"No",NA,NA,"Partially",NA,"immediately","nincs","street",NA,NA,NA,"No","street",NA,NA,NA," Csokonai utca,20"," Csokonai utca, 20",47.418341,19.0188815147526
"11421",6," Benczúr utca 11.",43,2,NA,220000,"new","very high",NA,5,7,"Yes","less than 3","Yes","By arrangement",NA,"immediately","1 év",NA,NA,"Yes","No","No",NA,"2020","8",NA," Benczúr utca 11.,6"," Benczúr utca 11., 6",47.5099271,19.0728987
"11422",6," Weiner Leó utca 8.",40,2,NA,185000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA," Weiner Leó utca 8.,6"," Weiner Leó utca 8., 6",47.5070681,19.0566351
"11423",9," Tuzoltó utca",65,3,NA,289120,"new","very high",NA,4,6,"Yes",NA,"Yes","Yes",35000,"immediately","nincs","street","No","Yes","No","No","can rent",NA,"5",30000," Tuzoltó utca,9"," Tuzoltó utca, 9",47.48382275,19.0714704145957
