"","District","Street","Area","Num_whole_rooms","Num_half_rooms","Price","Condition","Comfort_lev","Energy_eff","Floor","Floors_in_bdg","Lift","Ceiling_height","Air_conditioning","Furnished","Overhead","Vacant_possession","Min_rental(month)","View_to","Garden","Mechanized","Pets","Smoking","Parking","Year","Balcony","Parking_fee(monthly)","Address","ddress","lat","long"
"1877",9," Lenhossék utca 3.",50,2,NA,155000,"good",NA,NA,5,NA,"Yes",NA,NA,"Yes",NA,NA,"nincs","garden",NA,"Yes",NA,NA,"included",NA,"4",NA," Lenhossék utca 3.,9"," Lenhossék utca 3., 9",47.4776924,19.0769327
"1878",9," Lenhossék utca",52,2,NA,130000,"like new","high",NA,2,NA,"Yes",NA,"Yes","Partially",25000,NA,"1 év","street",NA,"Yes","No","No","street","2001-2010 ","2",NA," Lenhossék utca,9"," Lenhossék utca, 9",47.4782394,19.0775603
"1879",5," Balaton utca",58,2,NA,160000,"renovated","high","EE",1,5,"Yes","3 or more","Yes","No",40000,"immediately","1 év","street","No","Yes","No","No","street","1950-1980 ",NA,NA," Balaton utca,5"," Balaton utca, 5",46.76227495,17.2440236737429
"1880",7," Jósika utca",50,2,NA,120000,"good","high",NA,4,4,"Yes",NA,"No","Yes",25000,"immediately","nincs","yard","No","Yes","No",NA,NA,NA,NA,NA," Jósika utca,7"," Jósika utca, 7",47.566089,19.1022387
"1881",8," Teleki László tér",34,1,NA,115000,"renovated",NA,NA,2,2,"Yes","3 or more",NA,"Yes",20000,NA,"1 év","yard",NA,"Yes",NA,NA,NA,"1950-1980 ",NA,NA," Teleki László tér,8"," Teleki László tér, 8",47.4929664,19.0845627
"1882",7," Rákóczi út",42,1,1,125000,"renovated","high",NA,3,6,"Yes",NA,NA,"Yes",40000,NA,"1 év","yard","No","Yes","No","No",NA,NA,NA,NA," Rákóczi út,7"," Rákóczi út, 7",46.90914315,19.6969125218858
"1883",5," Széchenyi rakpart 7.",70,3,NA,234910,"renovated",NA,NA,2,NA,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","panorama",NA,"Yes","No",NA,NA,NA,NA,NA," Széchenyi rakpart 7.,5"," Széchenyi rakpart 7., 5",47.5035543,19.0455018612765
"1884",6," Paulay Ede utca 37.",60,3,NA,231296,"renovated",NA,NA,1,NA,"No",NA,"No","Yes",NA,"immediately","1 év","yard",NA,"Yes","No",NA,NA,NA,NA,NA," Paulay Ede utca 37.,6"," Paulay Ede utca 37., 6",47.50149375,19.0596806231868
"1885",12," Városkúti út",134,4,NA,618000,"like new","very high",NA,NA,3,"No",NA,"Yes","By arrangement",45000,"immediately",NA,"garden","Yes","Yes","Yes",NA,"included",NA,"28",NA," Városkúti út,12"," Városkúti út, 12",47.5061236,18.9870154838124
"1886",12," Városkúti út",132,4,NA,563000,"like new","very high",NA,1,3,"No",NA,"Yes","By arrangement",45000,"immediately",NA,"panorama","No","Yes","Yes",NA,"included",NA,"24",NA," Városkúti út,12"," Városkúti út, 12",47.5061236,18.9870154838124
"1887",6," Révay utca",138,4,NA,390000,"new","very high","AA+",4,4,"Yes","less than 3","Yes","Partially",40000,"immediately","1 év","panorama",NA,"Yes","Yes","No",NA,NA,"10",NA," Révay utca,6"," Révay utca, 6",47.50128195,19.0556632827562
"1888",6," Ó utca",64,2,NA,190000,"like new","high",NA,2,6,"Yes",NA,"Yes","Yes",25000,"immediately","nincs","street",NA,"Yes","No",NA,"included",NA,"6",NA," Ó utca,6"," Ó utca, 6",47.5030561,19.056333
"1889",3," Rómaifürdo – Pók utcai lakótelep",28,1,NA,1e+05,"renovated","high",NA,1,4,"No",NA,NA,"No",NA,"immediately","1 év","garden",NA,NA,"Yes",NA,"street",NA,NA,NA," Rómaifürdo – Pók utcai lakótelep,3"," Rómaifürdo – Pók utcai lakótelep, 3",47.5686801,19.0554418
"1890",2," Vérhalom",55,2,NA,250000,"renovated","average",NA,1,2,"No","less than 3","No","Yes",NA,NA,NA,"garden","No","Yes","No","No","street","1950-1980 ",NA,NA," Vérhalom,2"," Vérhalom, 2",47.5239802,19.0154929
"1891",3," Pálvölgyi köz",100,3,1,290000,"renovated","very high",NA,1,3,NA,NA,"Yes","No",NA,"immediately","1 év","panorama","No","Yes","No",NA,"included","1981-2000 ","8",NA," Pálvölgyi köz,3"," Pálvölgyi köz, 3",47.5354197,19.0160155
"1892",5," Vadász utca",82,3,NA,252980,"good","very high",NA,3,NA,"Yes",NA,NA,"Yes",NA,"immediately","1 év","street",NA,"Yes","No","No",NA,NA,NA,NA," Vadász utca,5"," Vadász utca, 5",48.0025366,21.7400494
"1893",13," Pozsonyi út",70,2,NA,275000,"renovated","high",NA,2,NA,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","yard",NA,"Yes",NA,NA,NA,NA,NA,NA," Pozsonyi út,13"," Pozsonyi út, 13",47.6175067,17.2616826945904
"1894",7," Rottenbiller utca 17.",20,1,NA,1e+05,"new",NA,NA,2,NA,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","street",NA,"Yes","No",NA,NA,NA,NA,NA," Rottenbiller utca 17.,7"," Rottenbiller utca 17., 7",47.5024384,19.0776451259231
"1895",6," Szondi utca",41,1,NA,1e+05,"good",NA,NA,2,5,"Yes",NA,NA,"Yes",25000,"immediately","1 év","street",NA,"Yes",NA,NA,NA,NA,NA,NA," Szondi utca,6"," Szondi utca, 6",47.4252082,19.0120896
"1896",12," Hóvirág út",56,2,NA,145000,"renovated","high",NA,1,2,"No",NA,NA,"Yes",NA,"not immediately","1 év","garden",NA,"Yes",NA,"No","can rent","1981-2000 ","8",20000," Hóvirág út,12"," Hóvirág út, 12",47.4844023,18.9946371056526
"1897",7," Akácfa utca 58.",54,3,NA,160000,"renovated",NA,NA,3,NA,"No",NA,"No","Yes",NA,"immediately","1 év","street",NA,"Yes","No",NA,NA,NA,NA,NA," Akácfa utca 58.,7"," Akácfa utca 58., 7",47.50126575,19.0639610831035
"1898",7," Murányi utca",28,1,NA,90000,"renovated","high",NA,1,4,"Yes","3 or more",NA,"Yes",20000,"immediately","4 hónap","yard",NA,"Yes","No",NA,NA,"1950 elott",NA,NA," Murányi utca,7"," Murányi utca, 7",47.5025139,19.0864112
"1899",1," Krisztinaváros – Naphegy",55,2,NA,165000,"renovated","high",NA,2,3,"No","3 or more","Yes","No",NA,"immediately","1 év",NA,NA,"Yes","No","No","street",NA,NA,NA," Krisztinaváros – Naphegy,1"," Krisztinaváros – Naphegy, 1",47.49257605,19.033038
"1900",2," Kacsa utca",68,3,NA,180000,"renovated","high",NA,6,NA,"Yes",NA,"Yes",NA,30000,"immediately","1 év","panorama",NA,"Yes","No","Yes",NA,NA,"10",NA," Kacsa utca,2"," Kacsa utca, 2",47.6154436,19.0850469
"1901",13," Angyalföld – Gyöngyösi utcai lakótelep",35,1,1,1e+05,"like new","high",NA,10,10,"Yes","less than 3","Yes","Yes",NA,NA,"1 év","street",NA,NA,"No","No","street","1981-2000 ",NA,NA," Angyalföld – Gyöngyösi utcai lakótelep,13"," Angyalföld – Gyöngyösi utcai lakótelep, 13",NA,NA
"1902",6," Mozsár utca",65,3,NA,2e+05,"renovated","high",NA,2,4,"No","3 or more","Yes","Yes",35000,"immediately","1 év","yard","No","Yes","No",NA,"street","1950-1980 ",NA,NA," Mozsár utca,6"," Mozsár utca, 6",47.5045614,19.0599342
"1903",2," Rózsadomb",107,3,NA,722800,NA,NA,NA,NA,NA,NA,NA,NA,NA,42000,"immediately","nincs",NA,NA,NA,NA,NA,NA,NA,"85",NA," Rózsadomb,2"," Rózsadomb, 2",47.51649275,19.0297066948289
"1904",5," Gerlóczy utca",33,1,NA,1e+05,"good","high",NA,5,5,"Yes","3 or more",NA,"Yes",NA,"immediately","1 év","yard","No","Yes","No","No","street",NA,NA,NA," Gerlóczy utca,5"," Gerlóczy utca, 5",47.4962989,19.0572434
"1905",7," Külso-Erzsébetváros – Ligetváros",68,2,NA,170000,"good","high",NA,1,3,"No","3 or more",NA,"Yes",NA,NA,"nincs","street",NA,"Yes","No","No",NA,"1950 elott",NA,NA," Külso-Erzsébetváros – Ligetváros,7"," Külso-Erzsébetváros – Ligetváros, 7",NA,NA
"1906",14," Rátót utca",56,3,NA,159000,"like new","high",NA,2,6,"Yes","less than 3",NA,"No",NA,"immediately","1 év","garden","No","Yes","No",NA,"can rent","2001-2010 ","5",NA," Rátót utca,14"," Rátót utca, 14",47.5108871,19.148209
"1907",10," Hang utca",48,2,NA,120000,"renovated","high",NA,8,10,"Yes",NA,NA,"No",NA,"immediately","1 év","street",NA,"Yes","Yes",NA,"street",NA,"4",NA," Hang utca,10"," Hang utca, 10",47.4711251,19.166868162751
"1908",7," Garay utca",30,1,NA,110000,"renovated","high","AA",1,3,"No","3 or more","No","Yes",15000,"immediately","1 év","yard","No","Yes",NA,NA,"street","1950-1980 ",NA,NA," Garay utca,7"," Garay utca, 7",47.5006723,19.0800286660596
"1909",2," Fény utca",52,2,NA,170000,"renovated","high",NA,4,4,"Yes","3 or more","No","Yes",25000,"immediately","1 év","panorama","No","Yes","No","No","street",NA,NA,NA," Fény utca,2"," Fény utca, 2",47.5086768,19.0239665
"1910",14," Zalán utca",75,2,1,140000,"good",NA,NA,3,3,"No",NA,"Yes","Partially",NA,"immediately","nincs","street",NA,"Yes",NA,NA,"street",NA,NA,NA," Zalán utca,14"," Zalán utca, 14",47.4426108,19.1236272
"1911",14," Írottko park",53,2,NA,130000,"good","high",NA,2,4,"No","less than 3","No","Yes",NA,NA,"1 év","garden",NA,"Yes","No","No",NA,"1950-1980 ","6",NA," Írottko park,14"," Írottko park, 14",47.537573,19.1074343
"1912",5," Ferenczy István utca",93,3,NA,290000,"renovated","high",NA,4,6,"Yes","3 or more","Yes","Yes",NA,"immediately","1 év","panorama",NA,"Yes",NA,NA,NA,"1950 elott","2",NA," Ferenczy István utca,5"," Ferenczy István utca, 5",47.4928054,19.0602825
"1913",8," Koris utca 27.",34,1,NA,110000,"good","high",NA,5,5,"Yes","less than 3","Yes","Partially",25000,"immediately","1 év","panorama",NA,"Yes","Yes","No","street",NA,NA,NA," Koris utca 27.,8"," Koris utca 27., 8",47.4871306,19.0903014
"1914",11," Vadon utca",84,2,NA,275000,"good","high",NA,1,NA,"No",NA,NA,"Partially",44000,"immediately","1 év","panorama",NA,"Yes",NA,NA,"street","2001-2010 ","8",NA," Vadon utca,11"," Vadon utca, 11",47.47846075,19.0083299053868
"1915",11," Kemenes utca",50,1,NA,120000,"renovated","high",NA,NA,5,"Yes","3 or more","No","Yes",20000,"immediately","1 év","yard","No","Yes","No","No","street",NA,NA,NA," Kemenes utca,11"," Kemenes utca, 11",47.4834242,19.0513328
"1916",6," Lovag utca",60,3,NA,160000,"renovated","high",NA,NA,NA,NA,NA,NA,"Yes",NA,"immediately","1 év",NA,NA,"Yes",NA,NA,NA,NA,NA,NA," Lovag utca,6"," Lovag utca, 6",47.50646735,19.0570881601364
"1917",7," Jósika utca",50,2,NA,140000,"good","high",NA,4,4,"Yes",NA,NA,"Yes",NA,NA,"1 év","yard",NA,"Yes",NA,NA,"street","1950-1980 ",NA,NA," Jósika utca,7"," Jósika utca, 7",47.566089,19.1022387
"1918",14," Nagy Lajos király útja",30,1,NA,90000,"good","average",NA,4,4,NA,"less than 3",NA,"Yes",NA,NA,"1 év","panorama",NA,"Yes",NA,NA,"street","1950 elott",NA,NA," Nagy Lajos király útja,14"," Nagy Lajos király útja, 14",47.5065296,19.1334741233193
"1919",7," Rózsa utca",85,3,1,210000,"renovated","very high",NA,2,2,"No","3 or more","Yes","No",NA,NA,"1 év","street","No","Yes",NA,NA,"street","1950-1980 ",NA,NA," Rózsa utca,7"," Rózsa utca, 7",47.6437293,19.0263359
"1920",9," Ráday utca",88,4,NA,250000,"renovated",NA,NA,2,NA,"No",NA,NA,"Yes",NA,"immediately",NA,"yard",NA,"Yes",NA,NA,NA,NA,NA,NA," Ráday utca,9"," Ráday utca, 9",47.4875869,19.0628292
"1921",6," Benczúr utca 11.",81,3,NA,397540,"new","luxury",NA,2,7,"Yes",NA,"Yes","Yes",NA,"immediately","nincs",NA,NA,"Yes",NA,NA,NA,"2020","14",NA," Benczúr utca 11.,6"," Benczúr utca 11., 6",47.5099271,19.0728987
"1922",14," Istvánmezei út",57,1,NA,180000,"good","high",NA,7,10,"Yes","less than 3","Yes","Yes",NA,"immediately","nincs","panorama","No","Yes","No","No","can rent","2001-2010 ","15",NA," Istvánmezei út,14"," Istvánmezei út, 14",47.5038751,19.0895859
"1923",14," Laky Adolf utca",45,2,NA,140000,"renovated","high",NA,2,3,"No","less than 3","Yes","No",20000,"immediately","1 év","garden","No",NA,"Yes",NA,"street","1950-1980 ","4.5",NA," Laky Adolf utca,14"," Laky Adolf utca, 14",47.5157976,19.1030597
"1924",15," Mézeskalács tér",50,2,NA,125000,NA,NA,NA,2,10,NA,"less than 3",NA,"Yes",40000,"immediately","1 év",NA,NA,"Yes","Yes","No","street",NA,NA,NA," Mézeskalács tér,15"," Mézeskalács tér, 15",47.5416604,19.1248116
"1925",5," Szemere utca",58,2,NA,150000,"good","high",NA,2,6,"Yes",NA,"Yes","Partially",27000,"immediately","1 év","garden",NA,"Yes","Yes",NA,NA,NA,"1",NA," Szemere utca,5"," Szemere utca, 5",47.5071279,19.0509166
"1926",2," Kurucles",65,3,NA,198000,"like new","very high",NA,NA,NA,"No","less than 3","No","Yes",25000,"immediately","1 év","garden","Yes","Yes","No","No","street",NA,"50",NA," Kurucles,2"," Kurucles, 2",47.5294408,18.9761017490651
"1927",6," Teréz körút",66,2,NA,240000,"renovated","very high",NA,3,4,"No",NA,"Yes","Yes",20000,"immediately",NA,"street",NA,"Yes","No",NA,"street",NA,NA,NA," Teréz körút,6"," Teréz körút, 6",47.5041614,19.0643841
"1928",8," Nagy Fuvaros utca",28,1,NA,85000,"renovated","average",NA,2,3,"No","3 or more","No","By arrangement",20000,"immediately","1 év","yard",NA,"Yes","No","No","street","1950 elott",NA,NA," Nagy Fuvaros utca,8"," Nagy Fuvaros utca, 8",47.4937542,19.0777970073409
"1929",2," Kapás utca",48,2,NA,250000,"new","high",NA,5,8,"Yes",NA,NA,"Yes",NA,NA,"1 év","street",NA,"Yes","No","No",NA,"2019",NA,NA," Kapás utca,2"," Kapás utca, 2",47.5083693,19.0329211
"1930",13," Szekszárdi utca",30,1,NA,1e+05,"renovated","high",NA,1,2,"No","3 or more",NA,"Yes",NA,"immediately","1 év",NA,NA,"Yes","No","No",NA,NA,NA,NA," Szekszárdi utca,13"," Szekszárdi utca, 13",47.5528621,19.0789926
"1931",11," Zámori utca",86,3,NA,2e+05,"good","high",NA,1,2,"No","less than 3","No","No",NA,"immediately","1 év","garden",NA,"Yes","No","No","street",NA,"3",NA," Zámori utca,11"," Zámori utca, 11",47.46682635,19.0380734099138
"1932",12," Gébics utca",35,1,1,110000,"good","high",NA,0.5,2,"No","less than 3","No","No",NA,"immediately","1 év","garden",NA,"Yes",NA,NA,NA,NA,"4",NA," Gébics utca,12"," Gébics utca, 12",47.48923475,19.015796960111
"1933",9," Haller utca",45,2,NA,155000,"renovated",NA,NA,4,5,"Yes",NA,"Yes","Yes",18000,"immediately","nincs","yard","No","Yes","No",NA,"street",NA,"1",NA," Haller utca,9"," Haller utca, 9",47.4784445,19.0879496
"1934",8," Corvin sétány",52,2,NA,180000,"like new","high",NA,5,8,"Yes","less than 3","Yes","Yes",20000,"immediately","1 év","garden",NA,"Yes","No","No","can rent",NA,"7",NA," Corvin sétány,8"," Corvin sétány, 8",47.48634975,19.0781144498265
"1935",2," Fény utca",58,1,1,180000,"renovated","high",NA,1,4,"Yes","3 or more","No","Yes",30000,"immediately","1 év","street","No","Yes","No","No","street","1950-1980 ",NA,NA," Fény utca,2"," Fény utca, 2",47.5086768,19.0239665
"1936",8," Corvin sétány",30,1,NA,120000,"like new","high","AA+",2,7,"Yes","less than 3","Yes","Yes",30000,"immediately","1 év","street","No","Yes","No","No","street","2017",NA,NA," Corvin sétány,8"," Corvin sétány, 8",47.48634975,19.0781144498265
"1937",9," Ülloi út",32,1,NA,95000,"good","high",NA,1,4,"Yes","3 or more",NA,"Yes",10000,NA,"1 év","yard",NA,"Yes",NA,NA,"street","1950 elott",NA,NA," Ülloi út,9"," Ülloi út, 9",47.4886843,19.0634554
"1938",7," Rottenbiller utca",70,2,1,180700,"like new","high",NA,3,5,"Yes",NA,NA,"Partially",NA,"immediately",NA,"street",NA,"Yes",NA,NA,NA,"2001-2010 ",NA,NA," Rottenbiller utca,7"," Rottenbiller utca, 7",47.5014184,19.0787594163901
"1939",11," Budaörsi út",30,1,NA,120000,"renovated","high",NA,NA,5,"Yes","less than 3","No","Yes",NA,"immediately",NA,"street","No","Yes",NA,NA,"can rent","1950 elott",NA,18000," Budaörsi út,11"," Budaörsi út, 11",47.4842269,19.0254623
"1940",9," Ráday utca 11.",70,2,1,2e+05,"renovated","high",NA,2,3,"No","3 or more","Yes","Yes",30000,"immediately","1 év","street",NA,"Yes","No","No","included","1950 elott",NA,NA," Ráday utca 11.,9"," Ráday utca 11., 9",47.487369,19.0629953
"1941",12," Alkotás utca",30,1,NA,105000,"good","high",NA,NA,5,"No","3 or more","No","Partially",20000,"immediately","1 év","garden","No","Yes","No","No","street",NA,NA,NA," Alkotás utca,12"," Alkotás utca, 12",47.2405325,16.6353334897952
"1942",13," Hegedus Gyula utca",29,1,NA,1e+05,"renovated","high",NA,1,3,"No",NA,NA,"No",25000,"immediately","1 év",NA,NA,"No","Yes","No",NA,NA,NA,NA," Hegedus Gyula utca,13"," Hegedus Gyula utca, 13",47.5169186,19.0556158
"1943",6," Aradi utca",85,2,1,199000,"like new","high",NA,1,NA,"Yes","3 or more",NA,NA,12000,"immediately","1 év",NA,NA,"Yes",NA,NA,NA,NA,"8",NA," Aradi utca,6"," Aradi utca, 6",47.5064476,19.0623964
"1944",2," Szász Károly utca 4.",90,3,NA,2e+05,"renovated",NA,NA,1,NA,"Yes",NA,"No","Yes",NA,"immediately","1 év","street",NA,"Yes","No",NA,NA,NA,"2",NA," Szász Károly utca 4.,2"," Szász Károly utca 4., 2",47.51016885,19.0323381453135
"1945",8," József körút",53,2,NA,177086,"renovated",NA,NA,3,NA,"No",NA,"No","Yes",NA,"immediately","1 év","street",NA,"Yes","No",NA,NA,NA,NA,NA," József körút,8"," József körút, 8",47.4958707,19.0711935
"1946",5," Dorottya utca",127,4,NA,999000,"renovated","luxury","BB",1,4,"Yes","3 or more","Yes","Yes",50000,"immediately","1 év","street","No","Yes","No","No","street","1950 elott","6",NA," Dorottya utca,5"," Dorottya utca, 5",47.4985606,19.0483994
"1947",2," Fenyves utca",136,4,NA,578240,NA,"very high",NA,2,2,NA,"less than 3","Yes","No",NA,"immediately","1 év","panorama",NA,"Yes","No","No","included","1981-2000 ","6",NA," Fenyves utca,2"," Fenyves utca, 2",47.5213678,18.9990522
"1948",5," Kecskeméti utca",30,1,NA,95000,"renovated","high",NA,1,5,"Yes","3 or more",NA,"Yes",20000,"immediately","1 év","street",NA,"Yes","No","No",NA,NA,NA,NA," Kecskeméti utca,5"," Kecskeméti utca, 5",47.4904729,19.0594824
"1949",13," Angyalföld",42,1,NA,140000,"good","high",NA,NA,NA,"Yes",NA,NA,"Yes",NA,"immediately",NA,NA,NA,"Yes",NA,NA,NA,NA,"8",NA," Angyalföld,13"," Angyalföld, 13",47.4866865,18.9974695
"1950",3," Váradi utca",57,2,1,165000,"renovated",NA,NA,0.5,NA,"Yes",NA,NA,"Yes",NA,"immediately","nincs","garden",NA,"Yes","No","No",NA,NA,NA,NA," Váradi utca,3"," Váradi utca, 3",47.5458394,19.0370342
"1951",6," Belso-Terézváros",97,3,NA,460000,"like new","luxury",NA,5,NA,"Yes",NA,"Yes",NA,30000,"immediately","1 év",NA,NA,"Yes","Yes","No","can rent",NA,"30",NA," Belso-Terézváros,6"," Belso-Terézváros, 6",47.55763565,19.03214965
"1952",13," Pannónia utca",76,1,1,180000,"good","high",NA,NA,3,NA,NA,NA,"Yes",30000,"immediately",NA,"street",NA,"Yes","Yes",NA,NA,NA,NA,NA," Pannónia utca,13"," Pannónia utca, 13",47.5142921,19.0524587
"1953",7," Dob utca",68,3,NA,2e+05,"renovated","high",NA,3,3,"Yes",NA,"No","No",20000,"immediately",NA,"yard","No","Yes","No",NA,"street",NA,NA,NA," Dob utca,7"," Dob utca, 7",47.4970951,19.0601143
"1954",14," Egressy út",65,2,NA,140000,"like new","high",NA,2,4,"No",NA,"Yes","No",30000,"immediately","1 év",NA,NA,"Yes","Yes",NA,"included",NA,NA,NA," Egressy út,14"," Egressy út, 14",47.5057574,19.1022221
"1955",14," Bartl János utca",93,4,NA,340000,"new","very high","AA++",3,5,"Yes","less than 3","Yes","No",15000,"immediately","1 év","yard","No","Yes",NA,"No",NA,"2021","16",NA," Bartl János utca,14"," Bartl János utca, 14",47.5233957,19.125679
"1956",13," Jász utca",69,3,NA,210000,"like new","high",NA,6,7,"Yes","less than 3","No","No",NA,NA,"1 év","garden","No","Yes","No","No","can rent","2020","6",25000," Jász utca,13"," Jász utca, 13",47.5261054333333,19.0808719333333
"1957",8," Ülloi út",107,2,1,199000,"renovated","high",NA,4,5,"Yes","3 or more",NA,"Yes",NA,"immediately","1 év","street","No","Yes",NA,NA,"street","1950 elott",NA,NA," Ülloi út,8"," Ülloi út, 8",47.4888982,19.0635412
"1958",12," Álom utca",100,3,NA,3e+05,"renovated","high",NA,2,5,"No","less than 3","Yes",NA,NA,"immediately","1 év","panorama","No","Yes","No","No","included","1981-2000 ","8",NA," Álom utca,12"," Álom utca, 12",47.5035887,19.0091924
"1959",13," Csanády utca",31,1,NA,130000,"renovated","high",NA,3,4,"Yes","3 or more","Yes","Yes",NA,"immediately","1 év",NA,NA,"Yes","No","No",NA,NA,NA,NA," Csanády utca,13"," Csanády utca, 13",47.5165753,19.0569222
"1960",6," Zichy Jeno utca",82,3,1,190000,"good","average",NA,1,NA,"Yes",NA,NA,"Yes",NA,"immediately","nincs","street",NA,"Yes",NA,NA,NA,NA,NA,NA," Zichy Jeno utca,6"," Zichy Jeno utca, 6",47.5037958,19.0562223
"1961",7," Wesselényi utca",84,3,NA,433680,"renovated",NA,NA,2,NA,"Yes",NA,"Yes","Yes",NA,"immediately","1 év","panorama",NA,"Yes","No",NA,NA,NA,NA,NA," Wesselényi utca,7"," Wesselényi utca, 7",47.5473479,19.1185745
"1962",5," Kossuth Lajos utca",83,3,NA,2e+05,"renovated","high",NA,3,NA,"Yes",NA,NA,"Yes",NA,"immediately","nincs","street",NA,"Yes","No",NA,NA,NA,NA,NA," Kossuth Lajos utca,5"," Kossuth Lajos utca, 5",47.3679771,18.0278417
"1963",14," Padlizsán utca",35,1,NA,1e+05,"renovated","high",NA,NA,3,"No","less than 3",NA,"No",27000,"immediately","1 év","garden","No","Yes","No",NA,NA,NA,NA,NA," Padlizsán utca,14"," Padlizsán utca, 14",47.5060313,19.127187
"1964",14," Bolgárkerék utca",48,2,NA,140000,"renovated","high",NA,3,3,"No","less than 3","No","Yes",NA,"immediately","1 év",NA,"No","Yes","No","No","street","1950-1980 ",NA,NA," Bolgárkerék utca,14"," Bolgárkerék utca, 14",47.5035765,19.1337389
"1965",9," Dandár utca",30,1,NA,140000,"new",NA,NA,4,NA,"Yes",NA,"No","Yes",NA,"immediately","1 év","street",NA,"Yes","No",NA,NA,NA,NA,NA," Dandár utca,9"," Dandár utca, 9",47.4766533,19.0717917
"1966",7," Bajza utca",38,1,NA,80000,"good","high",NA,1,7,"Yes","less than 3",NA,"Yes",35000,"immediately","1 év","yard","No","Yes","No","No","street",NA,"2",NA," Bajza utca,7"," Bajza utca, 7",47.03319705,18.0179929013908
"1967",5," Honvéd utca 16.",54,2,NA,150000,"renovated",NA,NA,2,NA,"Yes",NA,"No","Yes",NA,"immediately","1 év","yard",NA,"Yes","No",NA,NA,NA,NA,NA," Honvéd utca 16.,5"," Honvéd utca 16., 5",47.50781165,19.0491293854804
"1968",14," Róna utca",46,1,1,130000,"good",NA,NA,1,3,"No",NA,"No","No",25000,"immediately",NA,"street",NA,NA,"No",NA,"street",NA,"3",NA," Róna utca,14"," Róna utca, 14",47.5206133,19.1026205
"1969",13," Loportár utca",48,2,NA,180000,"new","high",NA,7,8,"Yes","less than 3","Yes","Yes",17000,"immediately","1 év","street","No","Yes","No","No","can rent","2020","6",30000," Loportár utca,13"," Loportár utca, 13",47.51920915,19.0674392665138
"1970",14," Cserto utca",46,2,NA,110000,"renovated","high",NA,8,10,"Yes",NA,"Yes","Partially",NA,"immediately","1 év","street",NA,"Yes",NA,"No","street","1981-2000 ",NA,NA," Cserto utca,14"," Cserto utca, 14",47.51433245,19.1448184962208
"1971",5," Alkotmány utca",80,3,NA,299000,"like new","luxury",NA,1,NA,"Yes","3 or more","Yes","Yes",20000,"immediately","1 év","yard","No","Yes","Yes","No","street",NA,NA,NA," Alkotmány utca,5"," Alkotmány utca, 5",47.3927118,21.7188283512401
"1972",6," Belso-Terézváros",98,3,1,490000,"renovated","very high",NA,3,NA,"Yes","3 or more","Yes","Yes",NA,"immediately","nincs","street",NA,"Yes",NA,NA,"street",NA,NA,NA," Belso-Terézváros,6"," Belso-Terézváros, 6",47.55763565,19.03214965
"1973",7," István utca",55,2,NA,180000,"renovated","high",NA,1,4,NA,NA,NA,"Yes",20000,"immediately",NA,"yard",NA,NA,"No",NA,NA,NA,NA,NA," István utca,7"," István utca, 7",47.5030393,19.0780394
"1974",7," Wesselényi utca",105,3,1,4e+05,"renovated","very high",NA,4,5,"Yes","3 or more","Yes","Yes",50000,"immediately","1 év","panorama","No","Yes","No","No","street","1950-1980 ","3",NA," Wesselényi utca,7"," Wesselényi utca, 7",47.5473479,19.1185745
"1975",6," Csengery utca",44,2,NA,110000,"renovated",NA,NA,NA,NA,"No",NA,"No","Yes",NA,"immediately","1 év","yard",NA,"Yes","No",NA,NA,NA,NA,NA," Csengery utca,6"," Csengery utca, 6",47.5021201,19.0704651
"1976",9," Lónyay utca",45,1,NA,110000,"renovated","high",NA,NA,NA,NA,"3 or more",NA,"Yes",26000,"immediately","1 év","street","No","Yes","No","No","street",NA,NA,NA," Lónyay utca,9"," Lónyay utca, 9",47.48721295,19.0610743316421
"1977",7," Garay tér",44,1,1,125000,"renovated","high",NA,1,4,NA,"3 or more","Yes","Yes",NA,"immediately","1 év","garden",NA,"Yes","No","No","street",NA,NA,NA," Garay tér,7"," Garay tér, 7",47.5034468,19.0856688
"1978",6," Szív utca",52,2,NA,130000,"renovated","high",NA,2,3,"No",NA,"No","No",15000,"immediately","nincs","street","No","Yes","No",NA,"street",NA,NA,NA," Szív utca,6"," Szív utca, 6",47.5075276,19.0712903
"1979",12," Álom utca",60,1,2,185000,"renovated","high",NA,1,2,"No",NA,NA,"Yes",15000,"immediately",NA,"garden",NA,"Yes","Yes",NA,"included",NA,"12",NA," Álom utca,12"," Álom utca, 12",47.5035887,19.0091924
"1980",14," Szugló utca",99,3,NA,320000,"new","very high","AA++",1,5,"Yes","less than 3","Yes","No",15000,"immediately","1 év","yard","No","Yes",NA,"No",NA,"2021","17",NA," Szugló utca,14"," Szugló utca, 14",47.51100645,19.1050894227279
"1981",13," Váci út",117,3,1,295000,"fair","high",NA,1,5,"Yes",NA,NA,"No",40000,"immediately",NA,"street","No","Yes","No",NA,"street",NA,"2",NA," Váci út,13"," Váci út, 13",47.5626928,19.0787482822861
"1982",6," Szondi utca",103,4,NA,325260,"renovated","very high",NA,3,4,"Yes","3 or more",NA,"Yes",NA,"immediately","1 év","yard",NA,"Yes","No",NA,NA,NA,NA,NA," Szondi utca,6"," Szondi utca, 6",47.4252082,19.0120896
